PT_NAME_FR,SOC_NAME_FR,id_effet_secondaire
Rupture de la synoviale,"Lesions, intoxications et complications d'interventions",4063
Carcinome epidermoide pulmonaire stade IV,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4064
Thrombose de la veine jugulaire,Affections vasculaires,4065
Hemorragie urethrale,Affections du rein et des voies urinaires,4066
Syndrome du canal tarsien,Affections du systeme nerveux,4067
Oedeme conjonctival,Affections oculaires,4068
Calcul d'une glande salivaire,Affections gastro-intestinales,4069
arytheme au site du catheter,Troubles generaux et anomalies au site d'administration,4070
Irritation de l'appareil respiratoire,"Affections respiratoires, thoraciques et mediastinales",4071
Infarctus osseux,Affections musculosquelettiques et du tissu conjonctif,4072
Fracture du col du femur,"Lesions, intoxications et complications d'interventions",4073
Ulcere de l'amygdale,"Affections respiratoires, thoraciques et mediastinales",4074
Infection pulmonaire a  Hantavirus,Infections et infestations,4075
Arthropathie neuropathique,Affections musculosquelettiques et du tissu conjonctif,4076
Laminectomie,Actes medicaux et chirurgicaux,4077
Tumeur hepatique benigne,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4078
arosion au site d'application,Troubles generaux et anomalies au site d'administration,4079
Greffe de peau,Actes medicaux et chirurgicaux,4080
Regime inadequat,Caracteristiques socio-environnementales,4081
Trouble d'angoisse sociale,Affections psychiatriques,4082
Paralysie supranucleaire evolutive,Affections du systeme nerveux,4083
Probleme de conditionnement du produit,Problemes de produit,4084
Enthesopathie,Affections musculosquelettiques et du tissu conjonctif,4085
Leucemie recidivante,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4086
Pression arterielle diastolique anormale,Investigations,4087
Ma´le hydatiforme benigne,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4088
Carcinome epidermoide de l'oesophage,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4089
Perforation oesophagienne,Affections gastro-intestinales,4090
Pharyngoamygdalite,Infections et infestations,4091
Chirurgie articulaire,Actes medicaux et chirurgicaux,4092
Volume urinaire augmente,Investigations,4093
Hematies nucleees,Affections hematologiques et du systeme lymphatique,4094
Anemie normochromique,Affections hematologiques et du systeme lymphatique,4095
Thyroxine augmentee,Investigations,4096
Volume globulaire moyen anormal,Investigations,4097
Petit rein,Affections du rein et des voies urinaires,4098
Gonflement vulvovaginal,Affections des organes de reproduction et du sein,4099
pH urinaire diminue,Investigations,4100
CA 125 (carbohydrate antigen 125) augmente,Investigations,4101
Esperance de vie raccourcie,Caracteristiques socio-environnementales,4102
Enterocolite bacterienne,Infections et infestations,4103
Syndrome de Guillain-Barre,Affections du systeme nerveux,4104
Coeur pulmonaire,Affections cardiaques,4105
alocution lente,Affections du systeme nerveux,4106
Carcinome inflammatoire du sein stade III,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4107
Tumeur de l'anus,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4108
Papillome buccal,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4109
Croissance des cils,Affections oculaires,4110
Anomalie de l'iris,Affections oculaires,4111
Syndrome premenstruel,Affections des organes de reproduction et du sein,4112
acoulement mammaire,Affections des organes de reproduction et du sein,4113
Necrose de la vesicule biliaire,Affections hepatobiliaires,4114
Contusion au site d'acces vasculaire,"Lesions, intoxications et complications d'interventions",4115
Repondeur partiel a  la therapie,Troubles generaux et anomalies au site d'administration,4116
Culture urinaire positive,Investigations,4117
Kyste ovarien hemorragique,Affections des organes de reproduction et du sein,4118
Modification de la pigmentation postinflammatoire,Affections de la peau et du tissu sous-cutane,4119
Dyspnee paroxystique nocturne,"Affections respiratoires, thoraciques et mediastinales",4120
Hypercalcemie hypocalciurique familiale,"Affections congenitales, familiales et genetiques",4121
Aplasie diaphragmatique,"Affections congenitales, familiales et genetiques",4122
Hernie congenitale du diaphragme,"Affections congenitales, familiales et genetiques",4123
Rate accessoire,"Affections congenitales, familiales et genetiques",4124
Microtie,"Affections congenitales, familiales et genetiques",4125
Atresie du canal auditif externe,"Affections congenitales, familiales et genetiques",4126
Fente labiale et palatine,"Affections congenitales, familiales et genetiques",4127
Micrognathie,"Affections congenitales, familiales et genetiques",4128
Hydrocephalie congenitale,"Affections congenitales, familiales et genetiques",4129
Trouble musculosquelettique congenital du cra¢ne,"Affections congenitales, familiales et genetiques",4130
Acrochordon congenital,"Affections congenitales, familiales et genetiques",4131
Malformation renale,"Affections congenitales, familiales et genetiques",4132
Hypoplasie du nerf optique,"Affections congenitales, familiales et genetiques",4133
Lesion retinienne,"Lesions, intoxications et complications d'interventions",4134
Reflux duodenogastrique,Affections gastro-intestinales,4135
"Trouble du sommeil da» a  une affection medicale, type insomnie",Affections psychiatriques,4136
Compte d'articulations gonflees augmente,Investigations,4137
Oesophagectomie,Actes medicaux et chirurgicaux,4138
Neuroblastome,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4139
Carpus curvus,"Affections congenitales, familiales et genetiques",4140
Atresie oesophagienne,"Affections congenitales, familiales et genetiques",4141
Lesion de la veine cave,"Lesions, intoxications et complications d'interventions",4142
Affection renale congenitale,"Affections congenitales, familiales et genetiques",4143
Score dâechelle EDSS (Expanded DisabilityÂ Status Scale) augmente,Investigations,4144
Polype auriculaire,Affections de l'oreille et du labyrinthe,4145
Hypermetropie,Affections oculaires,4146
Accident thrombotique cerebral,Affections du systeme nerveux,4147
Oesophage de Barrett,Affections gastro-intestinales,4148
Trouble du sommeil da» a  une affection medicale,Affections psychiatriques,4149
Operation de l'uterus,Actes medicaux et chirurgicaux,4150
Trouble de la lecture,Affections psychiatriques,4151
Inflammation de la corde vocale,"Affections respiratoires, thoraciques et mediastinales",4152
Granulome larynge,"Affections respiratoires, thoraciques et mediastinales",4153
Syndrome de Cushing d'origine hypophysaire,Affections endocriniennes,4154
Cancer bronchopulmonaire Â« non a  petites cellules Â»recidivant,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4155
Gastroenterite a  Clostridium,Infections et infestations,4156
Calcul urethral,Affections du rein et des voies urinaires,4157
Hemangiome cutane,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4158
Oedeme allergique,Affections du systeme immunitaire,4159
Omission intentionnelle d'administration,"Lesions, intoxications et complications d'interventions",4160
Reactivation de lâhepatite B,Infections et infestations,4161
Operation de tendon,Actes medicaux et chirurgicaux,4162
Grossesse ectopique avec dispositif contraceptif,"Affections gravidiques, puerperales et perinatales",4163
Syndrome de Mallory-Weiss,Affections gastro-intestinales,4164
apidermolyse bulleuse acquise,Affections de la peau et du tissu sous-cutane,4165
Expulsion du dispositif,Problemes de produit,4166
Grossesse sur dispositif contraceptif,"Affections gravidiques, puerperales et perinatales",4167
Infection a  coronavirus,Infections et infestations,4168
Pellicules,Affections de la peau et du tissu sous-cutane,4169
Oedeme testiculaire,Affections des organes de reproduction et du sein,4170
Embolie arterielle femorale,Affections vasculaires,4171
Kyste au site d'injection,Troubles generaux et anomalies au site d'administration,4172
Polype sinusal,"Affections respiratoires, thoraciques et mediastinales",4173
Onde P anormale a  l'electrocardiogramme,Investigations,4174
Complexe QRS prolonge a  l'electrocardiogramme,Investigations,4175
Amyloidose cutanee,Affections de la peau et du tissu sous-cutane,4176
Atteinte rachidienne,Affections musculosquelettiques et du tissu conjonctif,4177
Neurome,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4178
Dosage de metal lourd augmente,Investigations,4179
Anticorps ADN double-brin,Investigations,4180
Fibrose systemique nephrogene,Affections de la peau et du tissu sous-cutane,4181
Exerese de menisque,Actes medicaux et chirurgicaux,4182
Affection rhumatismale,Affections musculosquelettiques et du tissu conjonctif,4183
Presence de sediment dans les urines,Investigations,4184
Carcinome basosquameux cutane,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4185
Transfusion de globules rouges,Actes medicaux et chirurgicaux,4186
Ulcere gastroduodenal peptique,Affections gastro-intestinales,4187
Manque de satiete,Troubles du metabolisme et de la nutrition,4188
Encephalite,Infections et infestations,4189
Diabete gestationnel,"Affections gravidiques, puerperales et perinatales",4190
Thrombose de valve prothetique cardiaque,Troubles generaux et anomalies au site d'administration,4191
Agglutinines froides positives,Investigations,4192
Hemorragie au site de perfusion,Troubles generaux et anomalies au site d'administration,4193
Douleur au site de perfusion,Troubles generaux et anomalies au site d'administration,4194
Faiblesse musculaire du plancher pelvien,Affections des organes de reproduction et du sein,4195
Gynecomastie,Affections des organes de reproduction et du sein,4196
Tumeur de l'appendice,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4197
Insuffisance ponderale,Troubles du metabolisme et de la nutrition,4198
Choc hemorragique,Affections vasculaires,4199
Deformation osseuse,Affections musculosquelettiques et du tissu conjonctif,4200
Deficience en magnesium,Troubles du metabolisme et de la nutrition,4201
Hemorragie du postpartum,"Affections gravidiques, puerperales et perinatales",4202
Hypomotilite gastrique,Affections gastro-intestinales,4203
Dysfonctionnement de shunt,"Lesions, intoxications et complications d'interventions",4204
Occlusion de shunt,"Lesions, intoxications et complications d'interventions",4205
Diarrhee virale,Infections et infestations,4206
Tumeur de l'hypophyse a  hormone de croissance,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4207
Carcinome neuroendocrine,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4208
Hematome extradural,"Lesions, intoxications et complications d'interventions",4209
Abces periombilical,Infections et infestations,4210
Microangiopathie thrombotique,Affections hematologiques et du systeme lymphatique,4211
Reduction d'une fracture fermee,Actes medicaux et chirurgicaux,4212
Oedeme de la moelle osseuse,Affections hematologiques et du systeme lymphatique,4213
Lesion de la moelle epiniere,"Lesions, intoxications et complications d'interventions",4214
Deformation du cou,Affections musculosquelettiques et du tissu conjonctif,4215
Necrose de la tumeur,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4216
Infection ungueale,Infections et infestations,4217
Exposition environnementale,"Lesions, intoxications et complications d'interventions",4218
Pression pulsee augmentee,Investigations,4219
Susceptibilite aux infections augmentee,Infections et infestations,4220
Trouble du sommeil lie au rythme circadien,Affections du systeme nerveux,4221
Reaction hemolytique aigue a  la transfusion,"Lesions, intoxications et complications d'interventions",4222
Allergie au vaccin,Affections du systeme immunitaire,4223
Probleme de dispositif,Problemes de produit,4224
Spondylite infectieuse,Infections et infestations,4225
Kyste vaginal,Affections des organes de reproduction et du sein,4226
Infection bacterienne gastro-intestinale,Infections et infestations,4227
Illusion,Affections psychiatriques,4228
Luxation de vertebre,"Lesions, intoxications et complications d'interventions",4229
Tumeur phyllode,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4230
Concentration de medicament anticonvulsivant diminuee,Investigations,4231
Sensation vibratoire augmentee,Affections du systeme nerveux,4232
Troubles des conduites alimentaires lies au sommeil,Affections psychiatriques,4233
Effet du produit therapeutique augmente,Troubles generaux et anomalies au site d'administration,4234
Chutes brusques par derobement des jambes,Affections du systeme nerveux,4235
Rupture prematuree des membranes,"Affections gravidiques, puerperales et perinatales",4236
Carcinome hepatocellulaire,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4237
Hernie cerebrale,"Lesions, intoxications et complications d'interventions",4238
Fermeture de l'enterostomie,Actes medicaux et chirurgicaux,4239
arytheme penien,Affections des organes de reproduction et du sein,4240
Aspergillose bronchopulmonaire allergique,Infections et infestations,4241
Hemangiome,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4242
Retention de secretion bronchique,"Affections respiratoires, thoraciques et mediastinales",4243
Pus,Infections et infestations,4244
Gaªne nasale,"Affections respiratoires, thoraciques et mediastinales",4245
Osteochondrose,Affections musculosquelettiques et du tissu conjonctif,4246
Sous-dosage prescrit,"Lesions, intoxications et complications d'interventions",4247
Microalbuminurie,Affections du rein et des voies urinaires,4248
Fibrose de la peau,Affections de la peau et du tissu sous-cutane,4249
Dermite de contact,Affections de la peau et du tissu sous-cutane,4250
Microangiopathie cerebrale,Affections du systeme nerveux,4251
Metastases meningees,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4252
Metastase intestinale,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4253
Maladie ischemique des petits vaisseaux cerebraux,Affections du systeme nerveux,4254
Trouble de l'accommodation,Affections oculaires,4255
Hyperemie conjonctivale,Affections oculaires,4256
Glomerulonephrite,Affections du rein et des voies urinaires,4257
Canal lombaire etroit,Affections musculosquelettiques et du tissu conjonctif,4258
Syndrome de clivage de la chambre anterieure,"Affections congenitales, familiales et genetiques",4259
Reaction de phase aigue,Troubles generaux et anomalies au site d'administration,4260
apanchement,Troubles generaux et anomalies au site d'administration,4261
Retard de consolidation osseuse,Affections musculosquelettiques et du tissu conjonctif,4262
Deficience en vitamine D,Troubles du metabolisme et de la nutrition,4263
Reaction au site de perfusion,Troubles generaux et anomalies au site d'administration,4264
Reaction hemolytique a  la transfusion,"Lesions, intoxications et complications d'interventions",4265
Hemolyse intravasculaire,Affections hematologiques et du systeme lymphatique,4266
Pied d'athlete,Infections et infestations,4267
Thrombose de la greffe arterioveineuse,"Lesions, intoxications et complications d'interventions",4268
Anticorps humain antichimerique positif,Investigations,4269
Metastases cardiaques,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4270
Trouble de la lactation,Affections des organes de reproduction et du sein,4271
Diabete steroidien,Troubles du metabolisme et de la nutrition,4272
Gaz carbonique diminue,Investigations,4273
Hypertension maligne,Affections vasculaires,4274
Frequence de miction diminuee,Affections du rein et des voies urinaires,4275
Erreur sur le patient recevant le produit,"Lesions, intoxications et complications d'interventions",4276
Reaction liee a  lâinjection,"Lesions, intoxications et complications d'interventions",4277
Gastrite bacterienne,Infections et infestations,4278
Thyroxine diminuee,Investigations,4279
Deficience en zinc,Troubles du metabolisme et de la nutrition,4280
Atteinte periarticulaire,Affections musculosquelettiques et du tissu conjonctif,4281
Chondrome,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4282
Pneumopathie chimique,"Lesions, intoxications et complications d'interventions",4283
Pneumopathie par aspiration,"Affections respiratoires, thoraciques et mediastinales",4284
Reaction au site d'introduction du catheter,Troubles generaux et anomalies au site d'administration,4285
Tumeur surrenalienne,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4286
Operation du nez,Actes medicaux et chirurgicaux,4287
Signe de Lhermitte,Affections du systeme nerveux,4288
Tumeur benigne des os,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4289
Maceration cutanee,Affections de la peau et du tissu sous-cutane,4290
Photodermatose,Affections de la peau et du tissu sous-cutane,4291
Syndrome d'apnee du sommeil centrale,"Affections respiratoires, thoraciques et mediastinales",4292
Chirurgie reparatrice de hernie hiatale,Actes medicaux et chirurgicaux,4293
Infection fongique du pied,Infections et infestations,4294
Affection oculaire congenitale,"Affections congenitales, familiales et genetiques",4295
Thrombose de la veine axillaire,Affections vasculaires,4296
Gueule de bois,Troubles generaux et anomalies au site d'administration,4297
Complication de l'anesthesie,"Lesions, intoxications et complications d'interventions",4298
Croissance des ongles anormale,Affections de la peau et du tissu sous-cutane,4299
Calciphylaxie,Troubles du metabolisme et de la nutrition,4300
Intolerance a  l'alcool,Troubles du metabolisme et de la nutrition,4301
Trouble ureteral,Affections du rein et des voies urinaires,4302
Hematinurie,Affections du rein et des voies urinaires,4303
Saignement chronique gastro-intestinal,Affections gastro-intestinales,4304
Carcinome epidermoide du pharynx,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4305
Carcinome epidermoide du col uterin,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4306
Myocardite infectieuse,Infections et infestations,4307
Metastases vesicales,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4308
Tumeur de l'amygdale,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4309
Cancer renal metastatique,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4310
Infection anorectale,Infections et infestations,4311
Arterite cerebrale,Affections du systeme nerveux,4312
Trouble lymphatique,Affections hematologiques et du systeme lymphatique,4313
Infection a  virus para-influenza,Infections et infestations,4314
Prurit au site d'instillation,Troubles generaux et anomalies au site d'administration,4315
Chaleur au site de perfusion,Troubles generaux et anomalies au site d'administration,4316
Ulcere urethral,Affections du rein et des voies urinaires,4317
Leucemie lymphoide chronique recidivante,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4318
Otite externe,Infections et infestations,4319
Lesions multiples,"Lesions, intoxications et complications d'interventions",4320
Nitrite urinaire present,Investigations,4321
Macrocytose,Affections hematologiques et du systeme lymphatique,4322
Malformation vasculaire gastro-intestinale hemorragique,Affections gastro-intestinales,4323
Chiropraxie,Actes medicaux et chirurgicaux,4324
Hemorragie pituitaire,Affections endocriniennes,4325
apisclerite,Affections oculaires,4326
Fistule perineale,Affections des organes de reproduction et du sein,4327
Probleme de preparation du produit,"Lesions, intoxications et complications d'interventions",4328
Erreur medicamenteuse interceptee,"Lesions, intoxications et complications d'interventions",4329
Douleur au site dâune vaccination,Troubles generaux et anomalies au site d'administration,4330
Mobilite de membre injecte diminuee,Troubles generaux et anomalies au site d'administration,4331
Thrombose carotidienne,Affections du systeme nerveux,4332
Syndrome de negligence neurologique,Affections du systeme nerveux,4333
Parodontopathie,Affections gastro-intestinales,4334
Thrombose de la veine mesenterique,Affections gastro-intestinales,4335
Hernie crurale etranglee,Affections gastro-intestinales,4336
Vitamine B12 augmentee,Investigations,4337
Greffe gingivale,Actes medicaux et chirurgicaux,4338
Metastases dans la moelle osseuse,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4339
Trouble bipolaire II,Affections psychiatriques,4340
Pneumonie a  pneumocoque,Infections et infestations,4341
Pustules au site d'application,Infections et infestations,4342
Tumeur benigne de la langue,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4343
Abces sterile au site d'injection,Troubles generaux et anomalies au site d'administration,4344
Allaitement maternel,Caracteristiques socio-environnementales,4345
Kyste dermique,Affections de la peau et du tissu sous-cutane,4346
Viscosite du sperme anormale,Investigations,4347
Probleme d'approvisionnement en produit,Problemes de produit,4348
Cancer medullaire de la thyroide,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4349
Trouble adenoide,"Affections respiratoires, thoraciques et mediastinales",4350
Hypertrophie des vegetations adenoides,"Affections respiratoires, thoraciques et mediastinales",4351
Difference de temperature des membres,Investigations,4352
Biopsie de la thyroide,Investigations,4353
Hemorragie du gros intestin,Affections gastro-intestinales,4354
Hemoculture negative,Investigations,4355
Goitre congenital,"Affections congenitales, familiales et genetiques",4356
Retrognathie,Affections musculosquelettiques et du tissu conjonctif,4357
Malformation congenitale des paupieres,"Affections congenitales, familiales et genetiques",4358
Fistule postauriculaire,"Affections congenitales, familiales et genetiques",4359
Trouble de l'excitation sexuelle,Affections psychiatriques,4360
Metastases cutanees,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4361
Exerese de dent de sagesse,Actes medicaux et chirurgicaux,4362
Paresthesie pharyngee,"Affections respiratoires, thoraciques et mediastinales",4363
Malformation arterioveineuse hemorragique,"Affections congenitales, familiales et genetiques",4364
Stenose laryngee,"Affections respiratoires, thoraciques et mediastinales",4365
Desserrage du dispositif,Problemes de produit,4366
Paralysie du nerf radial,Affections du systeme nerveux,4367
Tuberculose latente,Infections et infestations,4368
Coup de chaleur,"Lesions, intoxications et complications d'interventions",4369
Rapport alumine/creatinine urinaire augmente,Investigations,4370
Diverticule pharyngo-oesophagien,Affections gastro-intestinales,4371
Contre-indication vaccinale,Caracteristiques socio-environnementales,4372
Surcharge en fer,Troubles du metabolisme et de la nutrition,4373
Deficience en vitamines du groupe B,Troubles du metabolisme et de la nutrition,4374
AVC des noyaux gris centraux,Affections du systeme nerveux,4375
Infection bacterienne des voies aeriennes inferieures,Infections et infestations,4376
Occlusion de la veine cave inferieure,Affections vasculaires,4377
Dilatation de la veine porte,Affections hepatobiliaires,4378
Chaleur au site du catheter,Troubles generaux et anomalies au site d'administration,4379
Trouble lacrymal,Affections oculaires,4380
Omission d'une administration medicamenteuse par le dispositif,"Lesions, intoxications et complications d'interventions",4381
Plainte liee a  l'utilisation du produit,"Lesions, intoxications et complications d'interventions",4382
Crise blastique de la leucemie myelogene,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4383
Accident vasculaire de l'artere cerebrale moyenne,Affections du systeme nerveux,4384
Migraine avec aura,Affections du systeme nerveux,4385
Dermatite atopique,Affections de la peau et du tissu sous-cutane,4386
Phase de sommeil irreguliere,Affections du systeme nerveux,4387
Blessure du nerf auditif (VIIIeme),"Lesions, intoxications et complications d'interventions",4388
Fibroelastome de valve cardiaque,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4389
Hypoperfusion,Affections vasculaires,4390
Saturation en oxygene non mesurable,Investigations,4391
Fatigue musculaire,Affections musculosquelettiques et du tissu conjonctif,4392
Bra»lure electrique,"Lesions, intoxications et complications d'interventions",4393
Polype des cordes vocales,"Affections respiratoires, thoraciques et mediastinales",4394
Trouble aortique,Affections vasculaires,4395
Fibrinogene sanguin augmente,Investigations,4396
Syndrome de chevauchement asthme-bronchopneumopathie obstructive chronique,"Affections respiratoires, thoraciques et mediastinales",4397
Hernie dâun muscle,"Lesions, intoxications et complications d'interventions",4398
Infection a  teigne,Infections et infestations,4399
Plaie par arme blanche,"Lesions, intoxications et complications d'interventions",4400
Hematome au site d'implantation,Troubles generaux et anomalies au site d'administration,4401
Thrombectomie,Actes medicaux et chirurgicaux,4402
Sepsis pulmonaire,Infections et infestations,4403
Enterocolite,Affections gastro-intestinales,4404
Syndrome cerebelleux,Affections du systeme nerveux,4405
Intolerance orthostatique,Affections du systeme nerveux,4406
Embolisation therapeutique,Actes medicaux et chirurgicaux,4407
Capacite pulmonaire totale anormale,Investigations,4408
Rhinosinusite chronique avec polypes nasaux,"Affections respiratoires, thoraciques et mediastinales",4409
Syndrome de souffrance foetale,"Affections gravidiques, puerperales et perinatales",4410
Ablation de l'endometre,Actes medicaux et chirurgicaux,4411
Ulcere de l'intestin graªle,Affections gastro-intestinales,4412
Syndrome hyponatremique,Troubles du metabolisme et de la nutrition,4413
Consommation d'oxygene diminuee,Investigations,4414
Schwannome,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4415
Comportement sexuellement inapproprie,Affections psychiatriques,4416
Infection de l'aine,Infections et infestations,4417
Intoxication chimique,"Lesions, intoxications et complications d'interventions",4418
Deficience multivitaminique,Troubles du metabolisme et de la nutrition,4419
Irritation du tube digestif,Affections gastro-intestinales,4420
Peau ridee,Affections de la peau et du tissu sous-cutane,4421
Hematome au site dâune vaccination,Troubles generaux et anomalies au site d'administration,4422
Keratomileusie,Actes medicaux et chirurgicaux,4423
Calcification du ligament,Affections musculosquelettiques et du tissu conjonctif,4424
Tumeur benigne de la glande thyroide,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4425
Vessie atone,Affections du rein et des voies urinaires,4426
Osteoarthropathie hypertrophiante,Affections musculosquelettiques et du tissu conjonctif,4427
"Granulocytes band cell"" dans le sang""",Affections hematologiques et du systeme lymphatique,4428
Operation anorectale,Actes medicaux et chirurgicaux,4429
Exfoliation linguale,Affections gastro-intestinales,4430
Hepatite virale,Infections et infestations,4431
Lymphome du systeme nerveux central,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4432
Infection a  papillomavirus,Infections et infestations,4433
Calcification de la valve mitrale,Affections cardiaques,4434
Vasodilatation,Affections vasculaires,4435
Cephalee vasculaire,Affections du systeme nerveux,4436
Carcinome a  cellules transitionnelles de la vessie,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4437
Infection perineale,Infections et infestations,4438
apanchement pleural malin,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4439
Hormone liberatrice d'hormone de croissance sanguine augmentee,Investigations,4440
Traumatisme psychologique,Affections psychiatriques,4441
Blessure du nerf radial,"Lesions, intoxications et complications d'interventions",4442
Exposition accidentelle a  un produit,"Lesions, intoxications et complications d'interventions",4443
Operation gingivale,Actes medicaux et chirurgicaux,4444
Deficience en biotine,Troubles du metabolisme et de la nutrition,4445
Rash da» a  une vascularite,Affections de la peau et du tissu sous-cutane,4446
Reactivation d'une infection a  virus d'Epstein-Barr,Infections et infestations,4447
Caecectomie,Actes medicaux et chirurgicaux,4448
Spondylarthrite axiale,Affections musculosquelettiques et du tissu conjonctif,4449
Perionyxis,Infections et infestations,4450
Thrombophlebite migratrice,Affections vasculaires,4451
Trouble musculosquelettique,Affections musculosquelettiques et du tissu conjonctif,4452
Dysbiose,Affections gastro-intestinales,4453
Affection mediastinale,"Affections respiratoires, thoraciques et mediastinales",4454
Glucose a  jeun altere,Troubles du metabolisme et de la nutrition,4455
Trouble palatal,Affections gastro-intestinales,4456
Presence de glucose urinaire,Investigations,4457
Taux dâenzyme augmente,Investigations,4458
Fistule gastro-intestinale,Affections gastro-intestinales,4459
Capacite residuelle fonctionnelle diminuee,Investigations,4460
Hypertrophie au site d'injection,Troubles generaux et anomalies au site d'administration,4461
Carcinome epidermoide metastatique,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4462
Rash vulvovaginal,Affections des organes de reproduction et du sein,4463
Colposcopie anormale,Investigations,4464
Reaction a  un excipient,Affections du systeme immunitaire,4465
Hyperplasie de l'endometre,Affections des organes de reproduction et du sein,4466
Cancer de l'endometre stade I,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4467
Hematome sous-cutane,"Lesions, intoxications et complications d'interventions",4468
Arthropathie microcristalline,Affections musculosquelettiques et du tissu conjonctif,4469
Metastases dans la trompe de Fallope,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4470
Metastases ovariennes,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4471
Paresthesie au site de perfusion,Troubles generaux et anomalies au site d'administration,4472
Herpes ophtalmique,Infections et infestations,4473
Fibrose,Troubles generaux et anomalies au site d'administration,4474
Hemorragie intra-abdominale,Affections gastro-intestinales,4475
Allergie a  l'iode,Affections du systeme immunitaire,4476
Halo colore,Affections oculaires,4477
Hemorragie au site de stomie,"Lesions, intoxications et complications d'interventions",4478
Irritation au site de stomie,"Lesions, intoxications et complications d'interventions",4479
Tumeur de la moelle epiniere,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4480
Trouble placentaire,"Affections gravidiques, puerperales et perinatales",4481
Site d'administration du produit inapproprie,"Lesions, intoxications et complications d'interventions",4482
Arythmie sinusale,Affections cardiaques,4483
Pneumonie a  Klebsiella,Infections et infestations,4484
Leiomyome,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4485
achelle EDSS (Expanded DisabilityÂ Status Scale),Investigations,4486
Stenose ureterale,Affections du rein et des voies urinaires,4487
Pseudophakie,Affections oculaires,4488
Hemorragie sous-cutanee,Affections de la peau et du tissu sous-cutane,4489
Bilirubine sanguine diminuee,Investigations,4490
Debit de filtration glomerulaire augmente,Investigations,4491
Perte de la proprioception,Affections du systeme nerveux,4492
Fracture du radius,"Lesions, intoxications et complications d'interventions",4493
Endophtalmie,Infections et infestations,4494
Syndrome toxique du segment anterieur,"Lesions, intoxications et complications d'interventions",4495
Atteinte du nerf trijumeau,Affections du systeme nerveux,4496
Leiomyosarcome,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",4497
Syndrome des vibrations,Affections du systeme nerveux,4498
Syndrome de Rett,"Affections congenitales, familiales et genetiques",4499
Traitement interrompu,Actes medicaux et chirurgicaux,4500
Sympta´me respiratoire,"Affections respiratoires, thoraciques et mediastinales",4501
Dysmetrie,Affections du systeme nerveux,4502
Marisques,Affections gastro-intestinales,4503
Atrophie multisystematisee,Affections du systeme nerveux,4504
Crise drepanocytaire,Affections hematologiques et du systeme lymphatique,4505
